0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:23 +0100] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:24 +0100] "GET /appointments HTTP/1.1" 500 385
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:24 +0100] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:53 +0100] "GET /appointments HTTP/1.1" 500 385
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:56 +0100] "GET /appointments HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:56 +0100] "GET /js/jquery-ui.css HTTP/1.1" 200 36573
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:56 +0100] "GET /js/application.js HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:56 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 200 95962
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:56 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 200 17825
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:05:56 +0100] "GET /js/jquery-ui.js HTTP/1.1" 200 487212
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:32:52 +0100] "GET /appointments HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:32:52 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:32:52 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:32:52 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:32:52 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:32:52 +0100] "GET /js/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:16 +0100] "GET /appointments HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:16 +0100] "GET /js/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:16 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:16 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:16 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:16 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:20 +0100] "GET /appointments HTTP/1.1" 200 4185
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:20 +0100] "GET /js/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:20 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:20 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:20 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:33:20 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:54:50 +0100] "GET /appointments HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:54:50 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:54:50 +0100] "GET /js/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:54:50 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:54:50 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:54:50 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:51 +0100] "GET /appointments HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:51 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:51 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:51 +0100] "GET /js/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:51 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:51 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:55 +0100] "GET /appointments HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:55 +0100] "GET /js/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:55 +0100] "GET /js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:55 +0100] "GET /js/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:55 +0100] "GET /js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2015:12:57:55 +0100] "GET /js/jquery-1.11.3.min.js HTTP/1.1" 304 -
